Points,GEO12_ID,min_tower_distance,min_hospital_distance,min_food_distance,min_parking_distance,min_tower_distance_scaled,min_hospital_distance_scaled,min_food_distance_scaled,min_parking_distance_scaled,TotPop,NatWalkInd,TotPop_scaled,NatWalkInd_scaled,score
"(-96.0223678178626, 31.0547209956712)",483130000000.0,0.014935639,0.158051101,0.070071148,0.522300937,0.169115834,0.235237663,0.198255905,0.462684192,3525,1.333333333,0.3775706940874036,0.0,0.6096690869717223
"(-96.02300205187252, 29.809637669662983)",484737000000.0,0.00658998,0.480604355,0.065145069,0.854613747,0.074483755,0.715659886,0.184303145,0.757313971,6196,5.0,0.6636675235646958,0.44897959185922537,0.5891002107442612
"(-96.02391957256393, 30.411069963583476)",481852000000.0,0.026000442,0.056954212,0.047248852,0.350935076,0.294580511,0.084660381,0.133613416,0.31075058,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.6384907396897682
"(-96.02552845947518, 30.77464603388354)",481852000000.0,0.019318888,0.203100102,0.163785992,0.323179245,0.218817842,0.302335239,0.463696372,0.286142156,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.6495868670810725
"(-96.02581798199502, 30.07220460610486)",484737000000.0,0.004356111,0.324619996,0.020459357,0.613762132,0.049153736,0.483331266,0.057734124,0.54377403,6196,5.0,0.6636675235646958,0.44897959185922537,0.6877896594833917
"(-96.02584529485789, 30.34913142936283)",481852000000.0,0.002790137,0.067768564,0.047757538,0.389170552,0.031397027,0.100767659,0.135054231,0.344650296,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.7174786549506378
"(-96.02626810927174, 30.5218550429281)",481852000000.0,0.006438421,0.139119714,0.038861844,0.297318313,0.072765216,0.207040586,0.109857826,0.263213758,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.727890405820203
"(-96.02666425337443, 31.34938759566267)",482900000000.0,0.010447398,0.423018878,0.097610469,0.784192145,0.118223318,0.62989004,0.276259024,0.694877916,2435,7.666666667,0.26081833761782347,0.775510204131612,0.5394706355914307
"(-96.02744596825735, 30.89845720176591)",483130000000.0,0.012079293,0.12437049,0.084236445,0.397049613,0.136727504,0.18507257,0.238378078,0.351635901,3525,1.333333333,0.3775706940874036,0.0,0.6599967342760701
"(-96.02852839050317, 29.962180074309256)",484737000000.0,0.012428526,0.392306109,0.103397942,0.712210424,0.14068748,0.584145357,0.29265162,0.631058653,6196,5.0,0.6636675235646958,0.44897959185922537,0.6109949410920874
"(-96.02911917446555, 31.117879727898508)",482900000000.0,0.019652908,0.211419182,0.070008701,0.572911472,0.222605319,0.314725971,0.19807903,0.507555682,2435,7.666666667,0.26081833761782347,0.775510204131612,0.5854213280696916
"(-96.02941787933118, 29.741774345289286)",484737000000.0,0.002657855,0.523310528,0.065649602,0.915771249,0.029897076,0.77926797,0.185732199,0.811536441,6196,5.0,0.6636675235646958,0.44897959185922537,0.5829209296138265
"(-96.03048179773046, 30.252990242166927)",481852000000.0,0.004857037,0.147445599,0.057733937,0.457902323,0.054833777,0.219441454,0.163311655,0.405588141,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.6817426558636812
"(-96.03204134023466, 29.960954764906358)",484737000000.0,0.009094904,0.389630867,0.104898561,0.711969571,0.102887285,0.580160756,0.296902014,0.630845111,6196,5.0,0.6636675235646958,0.44897959185922537,0.6242055542660004
"(-96.03210118934008, 31.41033459746813)",482900000000.0,0.008392952,0.483268177,0.056923364,0.839126112,0.094927792,0.719627477,0.161015765,0.743582576,2435,7.666666667,0.26081833761782347,0.775510204131612,0.5317416247218655
"(-96.03343265209405, 29.960070542693114)",484737000000.0,0.007675922,0.388745712,0.105239944,0.712247656,0.086797335,0.578842375,0.297868958,0.631091663,6196,5.0,0.6636675235646958,0.44897959185922537,0.6297315812660004
"(-96.03441655585782, 30.092895841709534)",484737000000.0,0.000455343,0.302862935,0.018606348,0.591436536,0.004922621,0.45092553,0.052485611,0.523980073,6196,5.0,0.6636675235646958,0.44897959185922537,0.7116963910051307
"(-96.03487940720149, 30.148724867803836)",484737000000.0,0.011293035,0.247658364,0.042044374,0.542312769,0.127812065,0.36870189,0.118872112,0.480426758,6196,5.0,0.6636675235646958,0.44897959185922537,0.6847897869616525
"(-96.03556303466479, 30.293009731257012)",481852000000.0,0.008180959,0.108211201,0.087817223,0.423463563,0.092523981,0.161004354,0.248520369,0.375054608,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.6780893957767248
"(-96.03592676772085, 29.779185050921846)",484737000000.0,0.002784098,0.4918855,0.068302078,0.878397881,0.03132856,0.732462423,0.193245142,0.778401073,6196,5.0,0.6636675235646958,0.44897959185922537,0.5956567416138264
"(-96.03663754531047, 31.30804111142581)",482900000000.0,0.015838446,0.386533659,0.067269077,0.742039346,0.179352835,0.575547665,0.190319244,0.657505087,2435,7.666666667,0.26081833761782347,0.775510204131612,0.5373066638957786
"(-96.03761209290982, 30.051590259878527)",484737000000.0,0.000826,0.34340465,0.040406851,0.626969488,0.009125528,0.511309793,0.114233946,0.55548372,6196,5.0,0.6636675235646958,0.44897959185922537,0.6939666070920874
"(-96.03825863744287, 30.687506952000316)",481852000000.0,0.01157155,0.262519536,0.129189588,0.278562008,0.13097016,0.390836644,0.365704579,0.246584348,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.6943144456897681
"(-96.03911695489786, 30.21042928384256)",484737000000.0,0.005816208,0.186267687,0.021909457,0.487631384,0.065709892,0.277264444,0.061841425,0.431946038,6196,5.0,0.6636675235646958,0.44897959185922537,0.7297085381355655
"(-96.03926836868645, 29.862643703440103)",484737000000.0,0.008787158,0.434491865,0.08320945,0.799370782,0.099397727,0.646978313,0.235469188,0.708335352,6196,5.0,0.6636675235646958,0.44897959185922537,0.5982320675268699
